COMP_GENE_A	COMP_GENE_B
AT3G15930	AT4G14305
AT3G15930	AT4G22220
AT3G15930	AT3G46450
AT3G15930	AT5G08565
AT3G15930	AT2G31190
AT3G15930	AT4G26750
AT3G15930	AT3G60590
AT3G15930	AT5G50100
AT3G15930	AT1G13770
AT3G15930	AT5G57345
AT3G15930	AT1G02060
AT2G29760	AT2G03880
AT2G29760	AT3G49142
AT2G29760	AT3G45640
AT2G29760	AT2G15570
AT2G29760	AT5G50180
AT2G29760	AT3G27090
AT2G29760	AT5G43920
AT2G29760	AT1G29340
AT2G29760	AT3G18050
AT2G29760	AT1G73620
AT2G29760	AT3G27890
AT2G29760	AT1G15480
AT2G29760	AT5G46920
AT2G29760	AT4G37650
AT2G29760	AT5G41870
AT2G29760	AT4G28890
AT2G29760	AT2G30300
AT2G29760	AT3G62770
AT2G29760	AT3G43240
AT2G29760	AT5G57700
AT2G29760	AT5G13550
AT2G29760	AT1G13700
AT2G29760	AT5G19930
AT2G29760	AT4G35335
AT2G29760	AT5G23535
AT2G29760	AT1G58120
AT2G29760	AT1G36980
AT2G29760	AT4G21330
AT2G29760	AT5G64420
AT2G29760	AT4G03210
AT2G29760	AT1G24040
AT2G29760	AT1G03687
AT2G29760	AT5G42310
AT2G29760	AT1G80550
AT2G29760	AT5G49320
AT2G29760	AT3G61360
AT2G29760	AT4G14965
AT2G29760	AT1G06110
AT2G29760	AT3G12030
AT2G29760	AT3G07180
AT2G29760	AT2G05810
AT2G29760	AT5G47360
AT2G29760	AT1G73930
AT2G29760	AT3G16250
AT2G29760	AT1G64880
AT2G29760	AT1G06440
AT2G29760	AT3G49900
AT2G29760	AT5G02820
AT2G29760	AT3G58520
AT2G29760	AT4G11440
AT2G29760	AT1G36310
AT2G29760	AT1G20300
AT2G29760	AT3G10210
AT2G29760	AT4G02350
AT2G29760	AT5G48170
AT2G29760	AT1G19800
AT2G29760	AT3G11890
AT2G29760	AT4G16835
AT2G29760	AT3G61170
AT2G29760	AT5G39980
AT2G29760	AT4G08940
AT2G29760	AT1G52640
AT2G29760	AT3G14730
AT5G48910	AT5G35630
AT5G48910	AT1G67950
AT5G48910	AT1G65610
AT5G48910	AT1G70660
AT5G48910	AT2G03620
AT5G48910	AT5G15250
AT5G48910	AT3G55270
AT5G48910	AT2G24765
AT5G48910	AT3G48560
AT5G48910	AT5G13070
AT5G48910	AT1G22770
AT5G48910	AT1G67960
AT5G48910	AT1G08480
AT5G48910	AT2G06010
AT5G48910	AT4G02030
AT5G48910	AT3G60680
AT5G48910	AT5G18475
AT5G48910	AT5G14080
AT5G48910	AT5G66631
AT5G48910	AT4G38225
AT5G48910	AT2G30480
AT5G40405	AT3G16770
AT5G40405	AT1G09850
AT5G40405	AT1G58340
AT5G40405	AT2G41510
AT5G40405	AT5G09970
AT5G40405	AT1G01190
AT5G40405	AT5G53970
AT5G40405	AT1G28550
AT5G40405	AT2G46860
AT5G40405	AT1G31130
AT5G40405	AT2G20740
AT5G40405	AT5G53350
AT5G40405	AT3G27960
AT5G40405	AT1G11940
AT5G40405	AT3G05675
AT5G40405	AT1G02400
AT5G40405	AT5G22310
AT5G40405	AT5G10890
AT5G40405	AT4G13270
AT5G40405	AT5G51920
AT5G40405	AT3G61070
AT5G40405	AT3G01910
AT5G40405	AT2G44065
AT5G40405	AT2G35370
AT5G40405	AT2G35790
AT5G40405	AT2G43235
AT5G40405	AT1G28100
AT5G40405	AT5G48545
AT5G40405	AT4G39920
AT5G40405	AT4G18465
AT5G40405	AT3G28970
AT5G40405	AT5G51510
AT5G40405	AT2G30080
AT5G40405	AT1G09130
AT5G40405	AT3G15520
AT5G40405	AT3G55330
AT5G40405	AT1G60770
AT5G40405	AT3G58520
AT5G40405	AT3G28460
AT5G40405	AT2G35900
AT5G40405	AT3G26085
AT5G40405	AT3G54480
AT5G40405	AT2G42560
AT5G40405	AT1G23390
AT5G40405	AT1G02290
AT5G40405	AT1G67035
AT1G31430	AT3G59060
AT1G31430	AT1G65620
AT1G31430	AT2G18230
AT1G31430	AT1G18480
AT1G31430	AT1G77370
AT1G31430	AT5G24170
AT1G31430	AT5G23550
AT1G31430	AT1G15060
AT1G31430	AT5G27950
AT1G31430	AT5G01720
AT1G31430	AT3G09230
AT1G31430	AT1G74390
AT1G31430	AT5G09210
AT1G31430	AT2G41705
AT1G31430	AT5G12310
AT1G31430	AT3G11720
AT1G31430	AT3G06150
AT1G31430	AT1G19715
AT1G31430	AT4G10750
AT1G31430	AT4G26900
AT1G31430	AT3G49410
AT1G31430	AT4G36720
AT1G31430	AT4G01560
AT1G31430	AT5G47180
AT1G31430	AT3G13062
AT1G31430	AT3G21600
AT1G31430	AT1G04390
AT1G31430	AT5G40710
AT1G31430	AT2G31190
AT1G31430	AT5G23890
AT1G31430	AT5G58110
AT1G31430	AT2G39630
AT1G31430	AT4G24550
AT1G31430	AT2G01360
AT1G31430	AT5G42710
AT1G31430	AT3G14890
AT1G31430	AT5G15750
AT1G31430	AT4G10090
AT1G31430	AT3G55510
AT1G31430	AT5G46420
AT1G31430	AT5G52980
AT1G31430	AT1G63490
AT1G31430	AT5G27830
AT1G31430	AT1G08460
AT1G31430	AT1G64990
AT1G31430	AT4G37480
AT1G31430	AT2G35360
AT1G31430	AT4G28830
AT1G31430	AT3G54290
AT1G31430	AT2G36835
AT1G31430	AT1G74070
AT1G31430	AT4G29060
AT1G31430	AT1G56050
AT1G31430	AT4G17240
AT1G31430	AT1G14300
AT1G31430	AT4G26965
AT1G31430	AT5G50210
AT1G31430	AT1G67620
AT1G31430	AT5G17660
AT1G31430	AT5G35400
AT1G31430	AT2G39805
AT1G31430	AT4G17010
AT1G31430	AT3G24430
AT1G31430	AT5G57345
AT1G31430	AT3G06610
AT1G31430	AT3G59490
AT1G31430	AT2G45530
AT1G31430	AT4G04330
AT1G31430	AT3G24500
AT4G38010	AT2G31870
AT4G38010	AT1G72180
AT4G38010	AT3G18020
AT4G37380	AT4G15840
AT4G37380	AT1G63990
AT3G26782	AT4G00450
AT3G26782	AT5G18410
AT3G26782	AT3G12010
AT3G26782	AT5G49580
AT3G26782	AT5G62030
AT4G33990	AT1G31920
AT1G11290	AT3G47530
AT1G11290	AT4G22830
AT3G23330	AT2G33100
AT3G57430	AT5G04270
AT3G57430	AT1G10280
AT3G57430	AT4G21530
AT3G57430	AT1G12470
AT1G20230	AT3G59770
AT1G20230	AT5G52630
AT1G16480	AT5G15280
AT1G16480	AT3G06810
AT5G09950	AT3G52570
AT5G09950	AT1G03160
AT3G02010	AT4G10650
AT3G02010	AT1G31160
AT3G02010	AT3G05000
AT3G02010	AT5G19020
AT3G13770	AT1G53270
AT3G13770	AT3G63500
AT3G13770	AT1G80080
AT3G49170	AT1G18270
AT2G27610	AT2G37310
AT2G03880	AT3G03220
AT2G03880	AT2G15570
AT2G03880	AT3G27090
AT2G03880	AT1G73620
AT2G03880	AT1G77360
AT2G03880	AT4G37650
AT2G03880	AT2G30300
AT2G03880	AT5G19930
AT2G03880	AT2G27090
AT2G03880	AT5G03555
AT2G03880	AT3G10370
AT2G03880	AT4G20940
AT2G03880	AT4G03210
AT2G03880	AT1G24040
AT2G03880	AT1G03687
AT2G03880	AT3G61360
AT2G03880	AT2G28910
AT2G03880	AT3G12030
