Gene_ID	GO_Terms
A0A140JWM8	['GO:0004497']
A0A2P2CLG2	['GO:0008121']
AT1G01010	['GO:0000976', 'GO:0003700']
AT1G01030	['GO:0003700', 'GO:0005515']
AT1G01040	['GO:0003677', 'GO:0003725', 'GO:0004525', 'GO:0005515']
AT1G01050	['GO:0000287', 'GO:0004427']
AT1G01060	['GO:0000976', 'GO:0003700']
AT1G01070	['GO:0015186']
AT1G01080	['GO:0003729']
AT1G01090	['GO:0004739']
AT1G01120	['GO:0005515', 'GO:0009922']
AT1G01140	['GO:0004674', 'GO:0005515']
AT1G01160	['GO:0003713', 'GO:0005515']
AT1G01190	['GO:0005506', 'GO:0016705', 'GO:0020037']
AT1G01200	['GO:0003924']
AT1G01210	['GO:0003676', 'GO:0003899', 'GO:0008270']
AT1G01220	['GO:0047341', 'GO:0050201']
AT1G01225	['GO:0005515']
AT1G01230	['GO:0005515']
AT1G01250	['GO:0003700']
AT1G01260	['GO:0000976', 'GO:0003700', 'GO:0005515', 'GO:0046983']
AT1G01270	['GO:0030533']
AT1G01280	['GO:0005506', 'GO:0016709', 'GO:0020037']
AT1G01290	['GO:0003824', 'GO:0061799']
AT1G01300	['GO:0004190']
AT1G01320	['GO:0003729']
AT1G01340	['GO:0005216']
AT1G01355	['GO:0004540']
AT1G01360	['GO:0004864', 'GO:0005515', 'GO:0010427', 'GO:0038023', 'GO:0042803']
AT1G01370	['GO:0005515', 'GO:0030527', 'GO:0046982']
AT1G01380	['GO:0003700']
AT1G01390	['GO:0008194', 'GO:0016757']
AT1G01420	['GO:0008194', 'GO:0016757', 'GO:0080043']
AT1G01430	['GO:0016413']
AT1G01450	['GO:0004712', 'GO:0005524']
AT1G01460	['GO:0016308']
AT1G01480	['GO:0005515', 'GO:0016847', 'GO:0030170']
AT1G01490	['GO:0046872']
AT1G01510	['GO:0003714', 'GO:0005515', 'GO:0016616', 'GO:0019900', 'GO:0042802', 'GO:0042803', 'GO:0051287']
AT1G01520	['GO:0003700']
AT1G01530	['GO:0000977', 'GO:0003700', 'GO:0046983']
AT1G01540	['GO:0004674']
AT1G01560	['GO:0004707', 'GO:0005515']
AT1G01570	['GO:0016757']
AT1G01580	['GO:0000293', 'GO:0140618']
AT1G01590	['GO:0000293', 'GO:0140618']
AT1G01600	['GO:0005506', 'GO:0018685', 'GO:0020037', 'GO:0070330']
AT1G01610	['GO:0016791', 'GO:0090447']
AT1G01620	['GO:0005515', 'GO:0015250', 'GO:0015267']
AT1G01640	['GO:0005515']
AT1G01650	['GO:0042500']
AT1G01660	['GO:0004842']
AT1G01670	['GO:0004842']
AT1G01680	['GO:0004842']
AT1G01700	['GO:0005085']
AT1G01710	['GO:0047617', 'GO:0052815', 'GO:0052816']
AT1G01720	['GO:0000976', 'GO:0003700']
AT1G01740	['GO:0004674']
AT1G01760	['GO:0003723', 'GO:0008251', 'GO:0042803', 'GO:0043829']
AT1G01780	['GO:0000976', 'GO:0051015']
AT1G01790	['GO:0015078', 'GO:0015079', 'GO:0015386']
AT1G01820	['GO:0005515', 'GO:0042802']
AT1G01860	['GO:0000179', 'GO:0016422']
AT1G01870	['GO:0030533']
