HOG_GENE_A	HOG_GENE_B	COMP_GENE_A	COMP_GENE_B
HOG0000001	HOG0009636	AT3G15930	AT4G14305
HOG0000001	HOG0010499	AT3G15930	AT4G22220
HOG0000001	HOG0012928	AT3G15930	AT3G46450
HOG0000001	HOG0013076	AT3G15930	AT5G08565
HOG0000001	HOG0014500	AT3G15930	AT2G31190
HOG0000001	HOG0014619	AT3G15930	AT4G26750
HOG0000001	HOG0014984	AT3G15930	AT3G60590
HOG0000001	HOG0016314	AT3G15930	AT5G50100
HOG0000001	HOG0017838	AT3G15930	AT1G13770
HOG0000001	HOG0017963	AT3G15930	AT5G57345
HOG0000001	HOG0017973	AT3G15930	AT1G02060
HOG0000007	HOG0000058	AT2G29760	AT2G03880
HOG0000007	HOG0000073	AT2G29760	AT3G49142
HOG0000007	HOG0003192	AT2G29760	AT3G45640
HOG0000007	HOG0003883	AT2G29760	AT2G15570
HOG0000007	HOG0006536	AT2G29760	AT5G50180
HOG0000007	HOG0006542	AT2G29760	AT3G27090
HOG0000007	HOG0006558	AT2G29760	AT5G43920
HOG0000007	HOG0007444	AT2G29760	AT1G29340
HOG0000007	HOG0007797	AT2G29760	AT3G18050
HOG0000007	HOG0008033	AT2G29760	AT1G73620
HOG0000007	HOG0009095	AT2G29760	AT3G27890
HOG0000007	HOG0009398	AT2G29760	AT1G15480
HOG0000007	HOG0009944	AT2G29760	AT5G46920
HOG0000007	HOG0010206	AT2G29760	AT4G37650
HOG0000007	HOG0011219	AT2G29760	AT5G41870
HOG0000007	HOG0011648	AT2G29760	AT4G28890
HOG0000007	HOG0011754	AT2G29760	AT2G30300
HOG0000007	HOG0011845	AT2G29760	AT3G62770
HOG0000007	HOG0012142	AT2G29760	AT3G43240
HOG0000007	HOG0012186	AT2G29760	AT5G57700
HOG0000007	HOG0012877	AT2G29760	AT5G13550
HOG0000007	HOG0012992	AT2G29760	AT1G13700
HOG0000007	HOG0013074	AT2G29760	AT5G19930
HOG0000007	HOG0013732	AT2G29760	AT4G35335
HOG0000007	HOG0013739	AT2G29760	AT5G23535
HOG0000007	HOG0014130	AT2G29760	AT1G58120
HOG0000007	HOG0014144	AT2G29760	AT1G36980
HOG0000007	HOG0014283	AT2G29760	AT4G21330
HOG0000007	HOG0014420	AT2G29760	AT5G64420
HOG0000007	HOG0014478	AT2G29760	AT4G03210
HOG0000007	HOG0015617	AT2G29760	AT1G24040
HOG0000007	HOG0015912	AT2G29760	AT1G03687
HOG0000007	HOG0016132	AT2G29760	AT5G42310
HOG0000007	HOG0016181	AT2G29760	AT1G80550
HOG0000007	HOG0016223	AT2G29760	AT5G49320
HOG0000007	HOG0016282	AT2G29760	AT3G61360
HOG0000007	HOG0016312	AT2G29760	AT4G14965
HOG0000007	HOG0016347	AT2G29760	AT1G06110
HOG0000007	HOG0016464	AT2G29760	AT3G12030
HOG0000007	HOG0016473	AT2G29760	AT3G07180
HOG0000007	HOG0016827	AT2G29760	AT2G05810
HOG0000007	HOG0017021	AT2G29760	AT5G47360
HOG0000007	HOG0017240	AT2G29760	AT1G73930
HOG0000007	HOG0017307	AT2G29760	AT3G16250
HOG0000007	HOG0017381	AT2G29760	AT1G64880
HOG0000007	HOG0017548	AT2G29760	AT1G06440
HOG0000007	HOG0017645	AT2G29760	AT3G49900
HOG0000007	HOG0017820	AT2G29760	AT5G02820
HOG0000007	HOG0017849	AT2G29760	AT3G58520
HOG0000007	HOG0017866	AT2G29760	AT4G11440
HOG0000007	HOG0018005	AT2G29760	AT1G36310
HOG0000007	HOG0018026	AT2G29760	AT1G20300
HOG0000007	HOG0018084	AT2G29760	AT3G10210
HOG0000007	HOG0018121	AT2G29760	AT4G02350
HOG0000007	HOG0018336	AT2G29760	AT5G48170
